Date,Week Day,Total Screen Time ,Social Networking,Reading and Reference,Other,Productivity,Health and Fitness,Entertainment,Creativity,Yoga
2019-04-17,Wednesday,187,89,17,41,22,0,0,0,0
2019-04-18,Thursday,123,78,17,8,9,0,0,0,0
2019-04-19,Friday,112,52,40,8,4,0,3,0,0
2019-04-20,Saturday,101,69,9,38,2,0,3,0,0
2019-04-21,Sunday,56,35,2,43,3,0,1,1,0
2019-04-22,Monday,189,68,0,9,3,4,0,0,0
2019-04-23,Tuesday,158,56,18,41,12,15,0,0,0
2019-04-24,Wednesday,135,98,3,33,16,0,0,0,0
2019-04-25,Thursday,52,25,7,3,16,0,0,0,0
2019-04-26,Friday,198,76,8,29,15,0,32,0,0
2019-04-27,Saturday,116,75,10,20,5,0,0,0,0
2019-04-28,Sunday,85,42,22,4,2,0,0,0,0
2019-04-29,Monday,109,46,8,13,9,15,1,0,1
2019-04-30,Tuesday,79,40,2,9,12,0,0,0,1
2019-05-01,Wednesday,127,90,0,10,7,0,0,0,1
2019-05-02,Thursday,170,60,3,2,11,0,0,0,1
2019-05-03,Friday,91,64,2,18,5,1,1,2,1
2019-05-04,Saturday,58,34,4,5,3,0,1,0,1
2019-05-05,Sunday,133,109,5,1,3,0,0,0,1
2019-05-06,Monday,144,81,4,5,3,0,0,0,1
2019-05-07,Tuesday,110,70,5,6,15,0,9,0,1
2019-05-08,Wednesday,122,53,25,26,15,0,0,0,1
2019-05-09,Thursday,96,42,15,16,19,0,0,0,1
2019-05-10,Friday,161,93,13,17,16,1,0,0,1
2019-05-11,Saturday,58,49,1,2,2,0,0,2,1
2019-05-12,Sunday,52,28,1,1,6,0,0,1,1
2019-05-13,Monday,61,37,1,0,4,0,0,0,1
2019-05-14,Tuesday,88,41,2,7,15,0,0,0,1
